input,expression
"[4, 7, 9, 11]",11 * (7 - 4) - 9
"[4, 8, 8, 11]",(11 * 8 + 8) / 4
"[4, 8, 8, 13]",(13 * 8 - 8) / 4
"[4, 9, 11, 11]",11 * 4 - 11 - 9
"[5, 10, 10, 11]",(11 * 10 + 10) / 5
"[5, 10, 10, 13]",(13 - (10 / 10)) * 10 / 5
"[5, 5, 7, 11]",(5 * 7 - 11) * (5 / 5)
"[5, 5, 8, 11]",5 * 8 - 11 - 5
"[5, 6, 7, 9]",(7 - 5) * 9 + 6
"[5, 6, 8, 13]",(13 + 5) / 6 * 8
"[5, 6, 9, 11]",(11 + 9) * 6 / 5
"[5, 7, 10, 11]",(11 * 7 - 5) / (10 - 7)
"[5, 7, 7, 11]",(5 - 11/7) * 7
"[5, 7, 9, 12]",12 * (7 - 5) + 9 - 9
"[5, 8, 9, 13]",9 * 5 - 13 - 8
"[5, 9, 10, 11]",5 * 9 - 11 - 10
"[6, 11, 12, 12]",(12 * (12 - 11)) * (12 / 6)
"[6, 12, 12, 13]",(12 * 12) / (13 - 6 - (12 / 12))
"[6, 6, 9, 13]",(13 - 9) * 6 * (6 / 6)
"[6, 7, 11, 11]",(11 - 6) * 7 - 11
"[6, 7, 7, 11]",(6 * (11 - 7)) * (7 / 7)
"[6, 7, 8, 12]",One
"[6, 9, 9, 10]",(10 * 9) / 6 + 9
"[7, 10, 12, 13]",(13 + 7) * 12 / 10
"[7, 8, 10, 11]",8 * ((10 + 11) / 7)
"[7, 8, 8, 13]",(13 + 8) / 7 * 8
"[7, 8, 9, 12]",(7 + 9) / 8 * 12
"[7, 9, 11, 12]",(7 + 11) * (12 / 9)
"[8, 9, 10, 12]",(10 + 8) * (12 / 9)
"[8, 9, 11, 11]",11 * (11 - 8) - 9
"[9, 11, 12, 13]",12 * (13 + 11) / (13 - 9)
